BOROUGH,BUILDING CLASS CATEGORY,RESIDENTIAL UNITS,COMMERCIAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,SALE DATE
Bronx,03  THREE FAMILY DWELLINGS,3,0,5160,3432,1989,585000,8/31/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,6000,2357,1901,75376,7/22/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,5175,1296,1901,86500,7/22/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,2156,1622,1930,97000,12/21/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,2970,1588,1910,372500,11/12/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,1892,2022,1915,187000,10/9/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,1650,1040,1901,188000,11/16/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,1650,1408,1901,240000,2/5/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,2500,936,1925,150000,6/26/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,5500,2232,1901,377701,12/11/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,2000,1801,1901,470000,5/14/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,2000,1801,1901,180000,5/14/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,3064,932,1910,320000,5/27/2015
Bronx,01  ONE FAMILY DWELLINGS,8,0,2411,6716,2015,240000,4/1/2015
Bronx,01  ONE FAMILY DWELLINGS,1,1,6875,6592,1920,720000,6/8/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,3003,1612,1910,405000,1/8/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,1671,1081,1910,265000,2/11/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,3826,2279,1910,2000000,7/30/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,2500,1948,1915,400000,10/15/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2500,3348,1915,349000,11/12/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,3725,2775,1915,499900,3/19/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1600,1456,1920,388500,10/14/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1600,1456,1920,200000,1/22/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2997,3017,1910,229320,12/21/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,3125,3503,1901,300000,5/15/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2500,2368,1901,400000,11/16/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2000,2583,1899,539000,8/25/2015
